12  whole    | lasagna noodles
2   whole     | cloves garlic, crushed
1   whole     | egg
1   pound    | sweet italian sausage
3/4 pound  | lean ground beef
3/4 pound  | mozzarella cheese, sliced
28  ounces | crushed tomatoes
16  ounces | ricotta cheese
12  ounces | canned tomato sauce
3/4 cup       | grated parmesan cheese
1/2 cup       | minced onion
1/2 cup       | water
4   tbp         | chopped fresh parsley
2   tbp         | white sugar
1   tbp         | salt
1.5 tsp        | dried basil leaves
1   tsp         | italian seasoning
1/2 tsp       | fennel seeds
1/4 tsp       | ground black pepper
